rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0387.jpg,154.8,0.7821,0.8842,1.0,0.2,9,7,False,True
2,frame_0033.jpg,13.2,0.7246,0.6206,0.7143,1.0,7,5,False,True
3,frame_0069.jpg,27.6,0.6939,0.6449,0.5714,1.0,6,4,False,True
4,frame_0306.jpg,122.4,0.6932,0.8619,0.7143,0.24,8,5,False,True
5,frame_0291.jpg,116.4,0.6853,0.606,0.7143,0.84,7,5,False,True
6,frame_0031.jpg,12.4,0.6619,0.6666,0.4286,1.0,4,3,False,False
7,frame_0072.jpg,28.8,0.648,0.6388,0.4286,1.0,6,3,False,False
8,frame_0186.jpg,74.4,0.6478,0.7654,0.8571,0.04,9,6,False,True
9,frame_0276.jpg,110.4,0.6444,0.6785,0.8571,0.24,8,6,False,True
10,frame_0176.jpg,70.4,0.6443,0.6783,0.8571,0.24,8,6,False,True
11,frame_0367.jpg,146.8,0.6443,0.7423,0.8571,0.08,9,6,False,True
12,frame_0302.jpg,120.8,0.6377,0.7726,0.5714,0.4,6,4,False,False
13,frame_0305.jpg,122.0,0.6332,0.7259,0.7143,0.28,8,5,False,False
14,frame_0005.jpg,2.0,0.6306,0.5184,0.5714,1.0,5,4,False,True
15,frame_0030.jpg,12.0,0.6276,0.598,0.4286,1.0,7,3,False,False
16,frame_0023.jpg,9.2,0.6192,0.7526,0.1429,1.0,1,1,False,True
17,frame_0018.jpg,7.2,0.6168,0.5764,0.4286,1.0,4,3,False,False
18,frame_0389.jpg,155.6,0.6166,0.7566,0.7143,0.12,7,5,False,False
19,frame_0020.jpg,8.0,0.6144,0.5716,0.4286,1.0,4,3,False,False
20,frame_0129.jpg,51.6,0.6128,0.6164,0.4286,0.88,5,3,False,True
21,frame_0207.jpg,82.8,0.6127,0.7339,0.2857,0.8,2,2,False,False
22,frame_0130.jpg,52.0,0.6121,0.6848,0.2857,0.92,4,2,False,False
23,frame_0021.jpg,8.4,0.6107,0.5643,0.4286,1.0,5,3,False,False
24,frame_0132.jpg,52.8,0.6089,0.5607,0.4286,1.0,4,3,False,False
25,frame_0001.jpg,0.4,0.6047,0.5523,0.4286,1.0,8,3,False,False
26,frame_0025.jpg,10.0,0.5996,0.7992,0.0,1.0,1,0,False,False
27,frame_0293.jpg,117.2,0.5965,0.7175,0.2857,0.76,4,2,False,False
28,frame_0079.jpg,31.6,0.5958,0.6144,0.4286,0.8,7,3,False,False
29,frame_0009.jpg,3.6,0.5956,0.6198,0.2857,1.0,2,2,False,False
30,frame_0397.jpg,158.8,0.5949,0.7669,0.5714,0.2,6,4,False,False
31,frame_0198.jpg,79.2,0.5942,0.9266,0.1429,0.44,1,1,False,False
32,frame_0029.jpg,11.6,0.5911,0.525,0.4286,1.0,5,3,False,False
33,frame_0379.jpg,151.6,0.5897,0.7348,0.7143,0.04,9,5,False,False
34,frame_0088.jpg,35.2,0.5896,0.8317,0.2857,0.44,3,2,False,False
35,frame_0004.jpg,1.6,0.5885,0.6912,0.1429,1.0,4,1,False,False
36,frame_0068.jpg,27.2,0.5868,0.6021,0.2857,1.0,3,2,False,False
37,frame_0206.jpg,82.4,0.5852,0.7806,0.1429,0.76,1,1,False,False
38,frame_0014.jpg,5.6,0.583,0.5945,0.2857,1.0,4,2,False,False
39,frame_0287.jpg,114.8,0.5829,0.551,0.5714,0.68,6,4,False,False
40,frame_0123.jpg,49.2,0.5821,0.7368,0.2857,0.64,4,2,False,False
41,frame_0073.jpg,29.2,0.5778,0.5842,0.2857,1.0,5,2,False,False
42,frame_0114.jpg,45.6,0.5765,0.6981,0.5714,0.28,6,4,False,False
43,frame_0002.jpg,0.8,0.5727,0.4883,0.4286,1.0,8,3,False,False
44,frame_0124.jpg,49.6,0.5727,0.5305,0.5714,0.68,7,4,False,False
45,frame_0333.jpg,133.2,0.5721,0.7693,0.5714,0.08,7,4,False,False
46,frame_0328.jpg,131.2,0.5706,0.6806,0.7143,0.08,11,5,False,False
47,frame_0076.jpg,30.4,0.5663,0.5075,0.4286,0.92,7,3,False,False
48,frame_0074.jpg,29.6,0.5654,0.4737,0.4286,1.0,6,3,False,False
49,frame_0071.jpg,28.4,0.5611,0.5508,0.2857,1.0,5,2,False,False
50,frame_0169.jpg,67.6,0.5583,0.5658,0.5714,0.52,6,4,False,False
51,frame_0170.jpg,68.0,0.5581,0.667,0.4286,0.48,5,3,False,False
52,frame_0286.jpg,114.4,0.5579,0.6026,0.4286,0.64,7,3,False,False
53,frame_0173.jpg,69.2,0.5572,0.7132,0.4286,0.36,6,3,False,False
54,frame_0104.jpg,41.6,0.5559,0.8066,0.4286,0.12,3,3,False,False
55,frame_0006.jpg,2.4,0.5546,0.5377,0.2857,1.0,3,2,False,False
56,frame_0284.jpg,113.6,0.5523,0.6235,0.4286,0.56,5,3,False,False
57,frame_0296.jpg,118.4,0.5521,0.591,0.4286,0.64,5,3,False,False
58,frame_0118.jpg,47.2,0.552,0.7566,0.2857,0.44,3,2,False,False
59,frame_0368.jpg,147.2,0.5514,0.6582,0.7143,0.04,9,5,False,False
60,frame_0105.jpg,42.0,0.549,0.7232,0.5714,0.08,5,4,False,False
61,frame_0098.jpg,39.2,0.5485,0.6524,0.7143,0.04,5,5,False,False
62,frame_0077.jpg,30.8,0.5477,0.5719,0.2857,0.88,5,2,False,False
63,frame_0003.jpg,1.2,0.5467,0.5219,0.2857,1.0,5,2,False,False
64,frame_0384.jpg,153.6,0.5459,0.7707,0.4286,0.16,10,3,False,False
65,frame_0131.jpg,52.4,0.543,0.5306,0.2857,0.96,4,2,False,False
66,frame_0012.jpg,4.8,0.5428,0.4285,0.4286,1.0,4,3,False,False
67,frame_0209.jpg,83.6,0.5417,0.7954,0.0,0.72,3,0,False,False
68,frame_0075.jpg,30.0,0.5411,0.6124,0.1429,0.96,5,1,False,False
69,frame_0318.jpg,127.2,0.5411,0.6434,0.5714,0.24,8,4,False,False
70,frame_0125.jpg,50.0,0.54,0.5348,0.4286,0.72,7,3,False,False
71,frame_0301.jpg,120.4,0.5389,0.6446,0.4286,0.44,5,3,False,False
72,frame_0007.jpg,2.8,0.538,0.4188,0.4286,1.0,5,3,False,False
73,frame_0177.jpg,70.8,0.5358,0.6487,0.5714,0.2,6,4,False,False
74,frame_0000.jpg,0.0,0.5314,0.4913,0.2857,1.0,5,2,False,False
75,frame_0019.jpg,7.6,0.5305,0.5752,0.1429,1.0,2,1,False,False
76,frame_0193.jpg,77.2,0.5265,0.6142,0.5714,0.24,6,4,False,False
77,frame_0388.jpg,155.2,0.5219,0.7227,0.4286,0.16,8,3,False,False
78,frame_0095.jpg,38.0,0.5202,0.6336,0.5714,0.16,6,4,False,False
79,frame_0017.jpg,6.8,0.5184,0.4653,0.2857,1.0,4,2,False,False
80,frame_0070.jpg,28.0,0.5179,0.6357,0.0,1.0,6,0,False,False
81,frame_0078.jpg,31.2,0.5175,0.5276,0.2857,0.84,6,2,False,False
82,frame_0127.jpg,50.8,0.5167,0.542,0.2857,0.8,5,2,False,False
83,frame_0015.jpg,6.0,0.5151,0.6302,0.0,1.0,4,0,False,False
84,frame_0016.jpg,6.4,0.5129,0.3686,0.4286,1.0,5,3,False,False
85,frame_0089.jpg,35.6,0.5085,0.5142,0.5714,0.4,6,4,False,False
86,frame_0290.jpg,116.0,0.5064,0.4356,0.4286,0.8,6,3,False,False
87,frame_0113.jpg,45.2,0.5008,0.6484,0.4286,0.24,4,3,False,False
88,frame_0231.jpg,92.4,0.499,0.7626,0.2857,0.16,6,2,False,False
89,frame_0120.jpg,48.0,0.4945,0.6096,0.2857,0.52,4,2,False,False
90,frame_0307.jpg,122.8,0.4942,0.6512,0.4286,0.2,8,3,False,False
91,frame_0082.jpg,32.8,0.4936,0.5438,0.2857,0.68,3,2,False,False
92,frame_0317.jpg,126.8,0.492,0.7326,0.2857,0.2,5,2,False,False
93,frame_0215.jpg,86.0,0.4907,0.618,0.2857,0.48,2,2,False,False
94,frame_0281.jpg,112.4,0.4886,0.544,0.4286,0.44,5,3,False,False
95,frame_0133.jpg,53.2,0.4885,0.4056,0.2857,1.0,5,2,False,False
96,frame_0011.jpg,4.4,0.4882,0.4049,0.2857,1.0,3,2,False,False
97,frame_0300.jpg,120.0,0.4872,0.611,0.2857,0.48,4,2,False,False
98,frame_0202.jpg,80.8,0.4864,0.5614,0.2857,0.6,3,2,False,False
99,frame_0024.jpg,9.6,0.4856,0.5712,0.0,1.0,1,0,False,False
100,frame_0087.jpg,34.8,0.4851,0.6925,0.1429,0.48,3,1,False,False
101,frame_0319.jpg,127.6,0.485,0.5152,0.5714,0.28,9,4,False,False
102,frame_0008.jpg,3.2,0.484,0.4823,0.1429,1.0,3,1,False,False
103,frame_0275.jpg,110.0,0.4783,0.6194,0.4286,0.2,6,3,False,False
104,frame_0390.jpg,156.0,0.4719,0.569,0.5714,0.08,9,4,False,False
105,frame_0391.jpg,156.4,0.4715,0.6698,0.4286,0.04,9,3,False,False
106,frame_0292.jpg,116.8,0.4673,0.4431,0.2857,0.8,5,2,False,False
107,frame_0295.jpg,118.0,0.4657,0.5736,0.1429,0.68,4,1,False,False
108,frame_0010.jpg,4.0,0.4655,0.531,0.0,1.0,1,0,False,False
109,frame_0298.jpg,119.2,0.4651,0.5347,0.2857,0.56,6,2,False,False
110,frame_0083.jpg,33.2,0.4615,0.4956,0.2857,0.64,2,2,False,False
111,frame_0228.jpg,91.2,0.4594,0.56,0.5714,0.04,5,4,False,False
112,frame_0222.jpg,88.8,0.4586,0.58,0.4286,0.2,4,3,False,False
113,frame_0067.jpg,26.8,0.458,0.4302,0.1429,1.0,7,1,False,False
